Date,Open,High,Low,Close,Change,Volume
19-Jan-21,"31,721.50","31,896.20","31,621.33","31,811.74",102.91,"491,756,674"
18-Jan-21,"31,926.85","31,976.80","31,705.02","31,708.83",-205.76,"543,589,793"
15-Jan-21,"32,068.77","32,111.68","31,879.00","31,914.59",-129.05,"531,011,703"
14-Jan-21,"32,100.06","32,221.44","31,995.27","32,043.64",-20.54,"620,582,768"
13-Jan-21,"32,099.24","32,265.79","32,046.23","32,064.18",5.07,"845,204,198"
12-Jan-21,"31,895.63","32,098.03","31,839.24","32,059.11",219.87,"825,891,276"
11-Jan-21,"31,916.32","32,187.80","31,798.26","31,839.24",-50.29,"588,003,325"
8-Jan-21,"31,699.92","32,006.56","31,652.43","31,889.53",237.1,"696,414,831"
7-Jan-21,"31,633.84","31,858.41","31,545.38","31,652.43",21.85,"641,411,673"
6-Jan-21,"31,282.89","31,660.79","31,266.16","31,630.58",364.42,"664,516,672"
5-Jan-21,"31,290.06","31,327.52","31,152.75","31,266.16",-15.86,"582,082,375"
4-Jan-21,"31,178.95","31,540.98","31,169.49","31,282.02",112.53,"540,785,879"
1-Jan-21,"30,790.22","31,455.60","30,779.70","31,169.49",389.79,"642,577,537"
31-Dec-20,"30,792.39","30,845.66","30,694.60","30,779.70",45.81,"578,245,258"
30-Dec-20,"30,442.90","30,777.53","30,424.10","30,733.89",309.79,"455,962,479"
29-Dec-20,"30,609.23","30,724.84","30,385.82","30,424.10",-177.65,"502,981,305"
28-Dec-20,"30,471.63","30,657.47","30,444.49","30,601.75",157.26,"463,381,581"
24-Dec-20,"30,283.25","30,559.43","30,248.67","30,444.49",195.82,"570,558,163"
23-Dec-20,"30,190.63","30,327.83","30,139.65","30,248.67",49.41,"378,909,606"
22-Dec-20,"30,488.31","30,600.47","30,131.75","30,199.26",-292.6,"561,845,093"
21-Dec-20,"30,760.66","30,791.75","30,463.53","30,491.86",-246.5,"516,440,882"
18-Dec-20,"30,741.71","30,825.87","30,640.07","30,738.36",63.72,"482,533,331"
17-Dec-20,"30,396.87","30,685.67","30,378.97","30,674.64",295.67,"497,516,465"
16-Dec-20,"30,331.34","30,503.97","30,300.58","30,378.97",65.02,"433,004,929"
15-Dec-20,"30,277.10","30,563.90","30,222.24","30,313.95",59.65,"702,121,165"
14-Dec-20,"29,786.95","30,279.60","29,770.58","30,254.30",483.72,"629,331,166"
11-Dec-20,"29,650.30","29,869.52","29,641.66","29,770.58",128.92,"557,605,174"
10-Dec-20,"29,579.47","29,693.57","29,533.93","29,641.66",66.49,"472,350,360"
9-Dec-20,"29,476.11","29,668.98","29,476.11","29,575.17",98.41,"438,131,487"
8-Dec-20,"29,482.07","29,554.50","29,399.62","29,476.76",-5.72,"409,722,124"
7-Dec-20,"29,559.47","29,587.40","29,422.46","29,482.48",-66.93,"380,468,421"
4-Dec-20,"29,462.52","29,613.18","29,409.49","29,549.41",139.92,"427,883,630"
3-Dec-20,"29,421.76","29,690.25","29,380.38","29,409.49",1.72,"420,187,234"
2-Dec-20,"29,211.05","29,429.65","29,204.74","29,407.77",203.03,"476,848,692"
1-Dec-20,"28,849.34","29,238.94","28,849.46","29,204.74",355.28,"489,117,747"
30-Nov-20,"28,707.66","28,860.39","28,645.27","28,849.45",129.85,"388,523,044"
27-Nov-20,"28,766.91","28,819.27","28,683.08","28,719.60",-76.69,"397,783,982"
26-Nov-20,"28,475.73","28,862.09","28,445.74","28,796.29",350.55,"389,166,653"
25-Nov-20,"28,073.11","28,475.50","28,058.88","28,445.74",386.86,"213,371,292"
24-Nov-20,"27,949.97","28,156.26","27,930.15","28,058.88",126.83,"174,703,233"
23-Nov-20,"28,264.36","28,273.86","27,726.00","27,932.05",-341.81,"195,428,730"
20-Nov-20,"28,426.56","28,475.95","28,240.88","28,273.86",-157.66,"189,814,602"
19-Nov-20,"28,390.09","28,511.63","28,346.74","28,431.51",40.94,"188,548,504"
18-Nov-20,"28,489.06","28,494.33","28,281.97","28,390.57",-99.44,"145,876,999"
17-Nov-20,"28,474.39","28,683.90","28,412.69","28,490.01",77.32,"150,331,863"
16-Nov-20,"28,460.72","28,575.09","28,393.16","28,412.69",-44.09,"181,412,828"
13-Nov-20,"28,445.16","28,514.37","28,266.76","28,456.78",8.57,"243,067,683"
12-Nov-20,"28,868.94","28,864.16","28,386.68","28,448.21",-415.95,"328,283,642"
11-Nov-20,"28,916.07","28,972.40","28,706.53","28,864.16",2.7,"244,264,813"
10-Nov-20,"28,677.86","29,154.67","28,670.87","28,861.45",190.58,"355,976,126"
9-Nov-20,"28,670.39","28,773.55","28,548.32","28,670.87",3.36,"276,788,465"
6-Nov-20,"28,863.42","28,886.01","28,620.42","28,667.51",-181.12,"350,412,388"
5-Nov-20,"28,381.18","28,866.92","28,366.00","28,848.63",482.63,"356,591,681"
4-Nov-20,"28,443.46","28,718.53","28,323.24","28,366.00",-64.93,"427,805,275"
3-Nov-20,"27,570.01","28,463.74","27,566.21","28,430.93",864.72,"383,927,726"
2-Nov-20,"28,175.64","28,185.56","27,376.12","27,566.21",-619.35,"322,156,453"
29-Oct-20,"28,960.52","28,976.13","27,743.31","28,185.56",-790.57,"541,190,803"
28-Oct-20,"29,121.15","29,235.86","28,906.20","28,976.13",-137.33,"368,417,779"
27-Oct-20,"29,439.70","29,477.12","29,090.61","29,113.46",-326.05,"481,018,352"
26-Oct-20,"29,121.50","29,453.12","29,118.26","29,439.51",321.25,"487,115,967"
23-Oct-20,"29,055.55","29,151.55","28,974.74","29,118.26",72.05,"354,417,658"
22-Oct-20,"29,289.40","29,416.75","29,007.71","29,046.21",-247.13,"500,086,129"
21-Oct-20,"28,930.53","29,383.41","28,930.00","29,293.34",363.34,"661,189,180"
20-Oct-20,"28,581.45","28,997.55","28,567.79","28,930.00",362.21,"492,671,335"
19-Oct-20,"28,480.74","28,648.06","28,437.03","28,567.79",96,"319,531,161"
16-Oct-20,"28,479.81","28,522.12","28,272.08","28,471.79",14.54,"254,124,675"
15-Oct-20,"28,532.53","28,685.07","28,403.44","28,457.25",-16.64,"324,754,950"
14-Oct-20,"28,377.35","28,510.75","28,300.94","28,473.89",101.77,"232,789,852"
13-Oct-20,"28,536.46","28,537.95","28,120.24","28,372.12",-139.27,"290,074,847"
12-Oct-20,"28,875.40","29,026.18","28,463.85","28,511.39",-362.66,"376,397,242"
9-Oct-20,"28,630.81","28,908.62","28,622.26","28,874.05",240.79,"358,811,786"
8-Oct-20,"28,346.10","28,672.96","28,327.49","28,633.26",305.77,"476,730,392"
7-Oct-20,"27,874.99","28,386.03","27,856.43","28,327.49",471.06,"431,140,618"
6-Oct-20,"27,799.20","27,991.19","27,536.05","27,856.42",61.72,"400,966,915"
5-Oct-20,"28,575.86","28,574.84","27,656.07","27,794.70",-780.14,"409,938,188"
2-Oct-20,"28,993.05","29,077.55","28,483.41","28,574.84",-418.85,"348,576,710"
1-Oct-20,"28,937.92","29,029.43","28,657.67","28,993.69",23.71,"371,722,175"
30-Sep-20,"29,324.75","29,445.66","28,882.55","28,969.98",-325.26,"473,729,084"
29-Sep-20,"29,015.70","29,436.93","28,822.03","29,295.24",281.61,"353,649,061"
28-Sep-20,"29,637.17","29,673.60","28,955.22","29,013.63",-622.48,"407,187,099"
25-Sep-20,"29,607.11","29,854.15","29,512.03","29,636.11",38.77,"435,017,484"
24-Sep-20,"29,753.85","29,800.32","29,418.12","29,597.34",-157.21,"434,885,131"
23-Sep-20,"29,734.97","29,846.15","29,682.08","29,754.55",20.36,"582,794,744"
22-Sep-20,"29,936.18","29,973.55","29,644.99","29,734.19",-226.87,"441,059,295"
21-Sep-20,"30,165.89","30,184.94","29,905.04","29,961.06",-205.95,"433,918,549"
18-Sep-20,"30,067.66","30,201.97","30,043.08","30,167.00",101.78,"516,126,248"
17-Sep-20,"30,046.75","30,259.19","30,042.16","30,065.22",23.06,"508,691,857"
16-Sep-20,"30,166.93","30,294.21","29,946.14","30,042.16",-117.3,"489,600,391"
15-Sep-20,"30,258.38","30,447.83","30,114.15","30,159.46",-73.2,"662,797,128"
14-Sep-20,"30,257.31","30,369.72","30,146.74","30,232.66",-13.55,"509,518,330"
11-Sep-20,"30,403.62","30,525.59","30,207.87","30,246.21",-134.16,"526,175,254"
10-Sep-20,"29,864.45","30,518.10","29,862.56","30,380.36",517.8,"884,940,929"
9-Sep-20,"29,792.92","29,948.30","29,569.89","29,862.56",66.26,"707,012,027"
8-Sep-20,"29,978.01","30,105.28","29,726.39","29,796.30",-166.52,"884,364,174"
7-Sep-20,"29,752.36","30,040.22","29,748.90","29,962.82",213.92,"748,893,769"
4-Sep-20,"29,781.71","29,836.13","29,641.88","29,748.90",-31.6,"758,076,861"
3-Sep-20,"29,483.04","29,803.84","29,477.19","29,780.50",303.31,"919,445,486"
2-Sep-20,"29,130.16","29,506.02","29,122.86","29,477.19",354.33,"837,019,396"
1-Sep-20,"28,964.10","29,150.46","28,891.97","29,122.86",161.87,"759,358,325"
31-Aug-20,"28,830.56","29,079.08","28,807.84","28,960.99",153.15,"451,733,992"
28-Aug-20,"28,779.56","28,872.98","28,749.85","28,807.84",30.48,"238,566,769"
27-Aug-20,"28,585.18","28,854.97","28,565.37","28,777.36",211.99,"544,632,700"
26-Aug-20,"28,270.71","28,582.66","28,266.28","28,565.37",299.09,"507,951,937"
25-Aug-20,"27,964.37","28,307.11","27,930.89","28,266.28",335.39,"535,043,153"
24-Aug-20,"27,870.87","27,963.62","27,708.19","27,930.89",72.25,"371,692,721"
21-Aug-20,"28,071.99","28,075.02","27,675.46","27,858.64",-216.38,"400,478,316"
20-Aug-20,"28,221.85","28,274.57","28,011.07","28,075.02",-146.82,"394,617,870"
19-Aug-20,"28,244.28","28,372.53","28,186.23","28,221.84",-11.06,"427,189,041"
18-Aug-20,"28,227.01","28,364.65","28,199.20","28,232.90",33.7,"458,798,401"
17-Aug-20,"28,135.49","28,258.84","28,078.27","28,199.20",64.94,"522,612,249"
13-Aug-20,"28,223.86","28,267.13","27,922.53","28,134.26",-86.82,"556,089,651"
12-Aug-20,"28,353.40","28,591.84","28,164.14","28,221.08",-126.61,"591,114,581"
11-Aug-20,"27,994.07","28,443.88","27,993.36","28,347.69",354.33,"600,038,729"
10-Aug-20,"28,048.28","28,165.80","27,954.72","27,993.36",-49.56,"576,544,657"
7-Aug-20,"28,090.28","28,285.17","28,008.58","28,042.92",-30.76,"728,738,595"
6-Aug-20,"27,851.10","28,132.70","27,813.52","28,073.68",260.16,"826,774,981"
5-Aug-20,"27,667.54","27,842.29","27,572.96","27,813.51",157.7,"501,934,551"
4-Aug-20,"27,904.85","28,090.98","27,621.25","27,655.81",-240.34,"593,969,021"
3-Aug-20,"27,574.65","27,934.71","27,559.26","27,896.15",336.89,"539,315,249"
30-Jul-20,"27,348.97","27,559.26","27,265.54","27,559.26",222.73,"368,698,295"
29-Jul-20,"27,254.30","27,525.33","27,252.84","27,336.53",83.11,"508,223,808"
28-Jul-20,"27,062.81","27,292.21","27,028.37","27,253.42",225.05,"394,277,849"
27-Jul-20,"26,742.35","27,077.81","26,718.34","27,028.37",309.05,"288,095,631"
24-Jul-20,"26,801.00","26,827.70","26,576.78","26,719.32",-43.24,"266,527,768"
23-Jul-20,"26,922.24","27,099.80","26,742.79","26,762.56",-139.55,"379,279,925"
22-Jul-20,"26,845.65","27,009.72","26,757.47","26,902.11",56.73,"405,508,815"
21-Jul-20,"26,895.78","26,975.58","26,701.57","26,845.38",-40.58,"457,210,709"
20-Jul-20,"26,745.63","26,982.93","26,741.21","26,885.96",144.75,"553,814,736"
17-Jul-20,"26,505.29","26,751.08","26,461.91","26,741.21",279.3,"466,040,521"
16-Jul-20,"26,257.82","26,483.88","26,189.08","26,461.91",272.83,"402,553,774"
15-Jul-20,"26,226.91","26,285.85","26,140.33","26,189.08",31.88,"328,368,401"
14-Jul-20,"26,096.10","26,287.39","26,051.24","26,157.20",68.09,"466,243,316"
13-Jul-20,"25,847.42","26,131.52","25,841.82","26,089.11",247.29,"468,879,802"
10-Jul-20,"25,804.59","25,882.00","25,745.39","25,841.82",26.53,"292,700,075"
9-Jul-20,"25,569.70","25,841.06","25,562.78","25,815.29",252.51,"467,481,111"
8-Jul-20,"25,367.46","25,583.21","25,361.31","25,562.78",201.47,"317,681,371"
7-Jul-20,"25,285.40","25,388.31","25,213.81","25,361.31",111.52,"333,874,743"
6-Jul-20,"25,108.10","25,261.66","25,087.02","25,249.79",162.77,"332,249,125"
3-Jul-20,"25,077.32","25,116.57","25,019.51","25,087.02",39.39,"175,760,298"
2-Jul-20,"24,971.28","25,155.03","24,959.44","25,047.63",88.19,"383,083,588"
1-Jul-20,"24,659.93","24,996.90","24,660.31","24,959.44",299.13,"315,035,920"
30-Jun-20,"24,531.36","24,699.82","24,474.85","24,660.31",149.48,"223,159,558"
29-Jun-20,"24,266.80","24,516.95","24,156.32","24,510.83",256.61,"156,670,750"
26-Jun-20,"24,176.08","24,349.24","24,173.16","24,254.22",81.06,"198,187,551"
25-Jun-20,"24,382.02","24,391.24","24,126.02","24,173.16",-218.08,"168,424,461"
24-Jun-20,"24,406.42","24,445.57","24,301.37","24,391.24",-10.01,"195,734,274"
23-Jun-20,"24,265.98","24,420.13","24,246.41","24,401.25",154.84,"160,629,870"
22-Jun-20,"24,110.00","24,271.18","23,835.02","24,246.41",174.19,"159,908,656"
19-Jun-20,"24,161.11","24,216.93","24,039.08","24,072.22",-53.01,"105,890,521"
18-Jun-20,"24,340.81","24,384.33","24,088.78","24,125.23",-213.77,"216,218,176"
17-Jun-20,"24,413.19","24,635.69","24,273.52","24,339.00",-34.35,"340,836,700"
16-Jun-20,"24,272.24","24,433.72","24,223.28","24,373.34",150.06,"217,920,149"
15-Jun-20,"24,686.81","24,703.29","24,223.28","24,223.28",-480.01,"262,819,023"
12-Jun-20,"24,982.91","25,010.53","24,662.90","24,703.29",-307.24,"177,883,469"
11-Jun-20,"25,020.27","25,092.60","24,926.48","25,010.53",12.89,"270,627,954"
10-Jun-20,"24,852.95","25,025.09","24,852.30","24,997.64",145.34,"218,631,644"
9-Jun-20,"24,875.00","24,906.38","24,794.69","24,852.30",0.35,"238,135,184"
8-Jun-20,"24,651.00","24,879.37","24,614.02","24,851.95",237.93,"222,136,688"
5-Jun-20,"24,477.65","24,627.60","24,448.20","24,614.02",144.47,"89,128,637"
4-Jun-20,"24,669.42","24,677.11","24,441.95","24,469.55",-207.56,"143,640,671"
3-Jun-20,"24,743.67","24,819.76","24,661.27","24,677.11",8.83,"129,950,584"
2-Jun-20,"24,499.72","24,711.03","24,466.26","24,668.28",202.02,"221,035,941"
1-Jun-20,"24,443.67","24,524.43","24,402.40","24,466.26",31.08,"198,092,426"
29-May-20,"24,323.18","24,544.46","24,306.80","24,435.18",128.38,"233,019,920"
28-May-20,"24,351.00","24,380.74","24,237.32","24,306.80",-73.94,"194,562,016"
21-May-20,"24,376.68","24,506.79","24,320.46","24,380.74",10.57,"147,211,815"
20-May-20,"24,504.55","24,523.21","24,248.27","24,370.17",-107.34,"165,092,785"
19-May-20,"24,268.89","24,625.71","24,245.47","24,477.51",232.04,"247,778,139"
18-May-20,"24,238.96","24,541.35","24,208.02","24,245.47",37.45,"261,946,559"
15-May-20,"24,016.24","24,260.83","24,019.98","24,208.02",188.04,"213,269,078"
14-May-20,"23,902.05","24,047.23","23,884.77","24,019.98",135.21,"240,207,647"
13-May-20,"23,843.58","23,961.71","23,831.96","23,884.77",52.81,"219,198,127"
12-May-20,"23,706.52","23,872.45","23,666.61","23,831.96",165.35,"224,533,623"
11-May-20,"23,689.84","23,716.90","23,606.50","23,666.61",-15.57,"198,244,273"
8-May-20,"23,722.32","23,767.76","23,568.40","23,682.18",31.19,"88,007,739"
7-May-20,"23,940.76","23,979.43","23,602.38","23,650.99",-292.73,"175,994,570"
6-May-20,"24,053.83","24,134.64","23,895.10","23,943.72",-84.39,"208,958,580"
5-May-20,"23,967.39","24,236.70","23,920.30","24,028.11",107.81,"261,320,321"
4-May-20,"23,927.03","24,045.18","23,752.69","23,920.30",-17.31,"216,564,680"
30-Apr-20,"23,510.00","23,960.23","23,363.03","23,937.61",574.58,"291,985,795"
29-Apr-20,"23,014.28","23,371.31","22,977.71","23,363.03",385.32,"140,446,394"
28-Apr-20,"22,827.36","23,046.41","22,826.41","22,977.71",124.41,"159,402,248"
27-Apr-20,"23,089.56","23,119.30","22,720.83","22,853.30",-266,"122,276,110"
24-Apr-20,"23,218.66","23,336.60","23,058.04","23,119.30",-92.68,"120,563,701"
23-Apr-20,"22,898.64","23,250.66","22,886.89","23,211.98",325.09,"204,348,752"
22-Apr-20,"22,884.00","22,949.10","22,591.17","22,886.89",5.02,"239,737,643"
21-Apr-20,"23,460.88","23,465.13","22,792.76","22,881.87",-583.26,"338,661,639"
20-Apr-20,"23,260.64","23,777.15","23,259.22","23,465.13",205.91,"399,530,915"
17-Apr-20,"22,399.44","23,521.99","22,393.93","23,259.22",861.04,"302,309,580"
16-Apr-20,"22,218.00","22,418.92","22,065.74","22,398.18",209.91,"118,916,323"
15-Apr-20,"22,281.00","22,463.73","22,117.76","22,188.27",-10.59,"185,451,370"
14-Apr-20,"22,181.00","22,278.01","22,036.52","22,198.86",90.61,"130,187,563"
13-Apr-20,"22,601.00","22,697.03","22,044.32","22,108.25",-587.21,"153,590,982"
10-Apr-20,"22,545.00","22,765.03","22,273.02","22,695.46",47.49,"126,904,527"
9-Apr-20,"22,390.00","22,779.63","22,192.53","22,647.97",455.44,"216,318,732"
8-Apr-20,"22,451.58","22,446.92","22,091.87","22,192.53",-254.39,"180,760,392"
7-Apr-20,"22,099.00","22,494.75","22,022.22","22,446.92",424.7,"172,627,586"
6-Apr-20,"22,680.00","22,723.86","21,908.22","22,022.22",-493.37,"233,135,738"
3-Apr-20,"22,115.00","22,657.98","21,989.20","22,515.59",526.39,"251,748,393"
2-Apr-20,"21,235.74","22,033.73","21,216.41","21,989.20",772.79,"311,404,875"
1-Apr-20,"21,080.00","21,333.91","20,911.43","21,216.41",178.59,"193,468,949"
31-Mar-20,"20,386.00","21,068.04","20,322.54","21,037.82",715.28,"221,834,742"
30-Mar-20,"20,401.00","20,485.23","20,175.63","20,322.54",-162.69,"159,445,326"
27-Mar-20,"20,081.00","20,573.22","19,963.51","20,485.23",441.34,"169,392,826"
26-Mar-20,"20,071.00","20,637.44","19,943.46","20,043.89",-87.98,"186,700,670"
25-Mar-20,"20,961.00","21,037.60","20,100.82","20,131.87",-763.38,"144,633,072"
24-Mar-20,"22,064.36","22,106.41","20,728.68","20,895.25","-1,211.16","98,754,997"
20-Mar-20,"21,995.00","22,192.35","21,500.87","22,106.41",420.98,"244,998,438"
19-Mar-20,"21,551.00","21,968.43","20,897.18","21,685.43",-283,"307,776,992"
18-Mar-20,"23,010.00","23,248.34","21,949.74","21,968.43","-1,279.91","186,258,400"
17-Mar-20,"23,798.00","24,010.70","23,150.27","23,248.34",-618.88,"240,379,240"
16-Mar-20,"24,410.00","25,291.96","23,788.23","23,867.22","-1,424.74","215,437,490"
13-Mar-20,"24,701.00","25,365.77","24,473.01","25,291.96",-19.01,"290,470,770"
12-Mar-20,"26,002.00","26,127.67","25,245.98","25,310.97",-816.7,"230,698,940"
11-Mar-20,"26,268.00","26,562.31","26,061.81","26,127.67",-56.46,"217,634,300"
10-Mar-20,"25,800.00","26,210.06","25,719.55","26,184.13",309.07,"274,483,510"
9-Mar-20,"25,610.00","26,557.85","25,304.60","25,875.06",-682.79,"307,960,340"
6-Mar-20,"27,151.00","27,228.79","26,517.64","26,557.85",-670.94,"244,063,824"
5-Mar-20,"27,011.00","27,369.98","26,919.79","27,228.79",309,"340,722,180"
4-Mar-20,"27,061.00","27,069.35","26,797.32","26,919.79",-135.1,"186,985,760"
3-Mar-20,"27,149.00","27,385.30","26,854.16","27,054.89",-4.45,"225,275,610"
2-Mar-20,"26,300.00","27,096.59","26,289.38","27,059.34",769.96,"215,251,320"
28-Feb-20,"26,310.00","26,519.47","26,181.00","26,289.38",-107.58,"202,177,240"
27-Feb-20,"26,551.00","26,687.95","25,780.38","26,396.96",-290.99,"249,243,030"
26-Feb-20,"26,976.00","27,070.75","26,560.92","26,687.95",-331.03,"147,943,160"
25-Feb-20,"27,202.00","27,321.33","26,851.06","27,018.98",-229.32,"124,348,120"
24-Feb-20,"27,845.00","27,895.15","27,200.92","27,248.30",-646.85,"144,282,360"
21-Feb-20,"28,025.00","28,039.38","27,856.26","27,895.15",-122.87,"85,597,900"
20-Feb-20,"28,089.00","28,132.98","27,989.14","28,018.02",-45.83,"112,084,380"
19-Feb-20,"27,839.00","28,108.02","27,807.11","28,063.84",256.75,"142,964,390"
18-Feb-20,"28,039.00","28,141.44","27,758.54","27,807.10",-195.59,"91,643,590"
17-Feb-20,"28,049.00","28,130.89","27,900.27","28,002.69",-13.06,"99,813,272"
14-Feb-20,"28,299.00","28,330.57","27,917.81","28,015.75",-240.34,"117,597,500"
13-Feb-20,"28,349.00","28,468.96","28,191.97","28,256.09",-53.26,"197,307,008"
12-Feb-20,"27,929.00","28,384.45","27,865.16","28,309.35",444.19,"180,327,770"
11-Feb-20,"27,601.00","28,017.17","27,492.28","27,865.16",344.81,"161,527,860"
10-Feb-20,"28,016.00","28,053.71","27,470.38","27,520.35",-522.47,"180,766,520"
7-Feb-20,"28,410.00","28,458.75","27,983.62","28,042.82",-355.55,"193,536,140"
6-Feb-20,"28,529.00","28,633.74","28,375.60","28,398.38",-95.46,"127,803,640"
4-Feb-20,"28,401.00","28,506.86","28,245.23","28,493.84",178.23,"146,091,910"
3-Feb-20,"28,951.00","29,067.54","28,246.97","28,315.61",-751.93,"203,139,320"
31-Jan-20,"29,145.00","29,257.79","28,945.19","29,067.54",-55.99,"193,866,160"
30-Jan-20,"29,121.00","29,181.59","28,969.60","29,123.53",-11.81,"162,237,910"
29-Jan-20,"29,361.00","29,446.90","29,083.61","29,135.35",-210.54,"197,137,000"
28-Jan-20,"29,441.00","29,462.59","29,230.53","29,345.90",-116.69,"189,002,866"
27-Jan-20,"29,502.00","29,594.55","29,431.95","29,462.60",-67.28,"198,479,790"
24-Jan-20,"29,499.00","29,585.39","29,318.90","29,529.89",73.37,"173,043,120"
23-Jan-20,"29,629.00","29,759.68","29,409.24","29,456.52",-105.11,"230,827,150"
22-Jan-20,"29,702.00","29,754.25","29,308.76","29,561.63",-174.31,"177,984,850"
21-Jan-20,"29,839.00","29,928.72","29,621.78","29,735.95",-72.65,"177,567,170"
20-Jan-20,"30,029.00","30,089.73","29,734.95","29,808.60",-189.85,"173,897,330"
17-Jan-20,"29,945.00","30,037.83","29,914.46","29,998.45",83.98,"211,406,865"
16-Jan-20,"29,929.00","30,007.53","29,779.46","29,914.47",21.68,"229,862,940"
15-Jan-20,"29,951.00","29,999.17","29,799.04","29,892.79",-80.65,"171,256,950"
14-Jan-20,"30,074.00","30,150.96","29,932.22","29,973.44",-47.54,"249,669,660"
13-Jan-20,"30,099.00","30,194.74","29,901.75","30,020.98",-37.47,"366,135,385"
10-Jan-20,"29,729.00","30,070.99","29,654.66","30,058.45",403.79,"400,084,930"
9-Jan-20,"29,269.00","29,667.92","29,010.85","29,654.66",643.81,"362,490,340"
8-Jan-20,"29,301.00","29,375.75","28,882.75","29,010.85",-364.9,"280,071,600"
7-Jan-20,"29,269.00","29,393.74","29,072.69","29,375.75",230.23,"206,892,240"
6-Jan-20,"29,601.00","29,774.00","29,101.65","29,145.52",-628.48,"266,633,470"
3-Jan-20,"29,929.00","30,053.64","29,665.65","29,774.00",-98.97,"322,885,280"
2-Jan-20,"29,321.00","29,907.23","29,279.97","29,872.97",593,"412,354,330"
1-Jan-20,"29,074.00","29,340.07","29,011.73","29,279.97",268.24,"330,740,610"
31-Dec-19,"29,149.00","29,168.79","28,936.15","29,011.73",-90.11,"176,273,936"
30-Dec-19,"29,061.00","29,336.32","29,017.57","29,101.84",84.27,"165,834,760"
27-Dec-19,"29,249.00","29,286.91","28,938.91","29,017.57",-189.62,"265,968,272"
26-Dec-19,"28,924.00","29,228.23","28,866.37","29,207.19",340.82,"235,666,928"
24-Dec-19,"28,701.00","28,934.75","28,297.22","28,866.37",218.14,"235,859,936"
23-Dec-19,"29,080.00","29,118.20","28,573.94","28,648.23",-469.97,"179,095,171"
20-Dec-19,"28,910.00","29,138.76","28,764.31","29,118.20",251.53,"180,706,350"
19-Dec-19,"29,589.00","29,642.63","28,735.91","28,866.67",-669.38,"259,886,416"
18-Dec-19,"29,749.00","29,896.97","29,466.60","29,536.05",-284.42,"274,597,728"
17-Dec-19,"29,925.00","30,179.37","29,456.12","29,820.47",-51.44,"412,285,870"
16-Dec-19,"29,400.00","29,892.25","29,320.16","29,871.91",551.75,"357,788,940"
13-Dec-19,"29,095.00","29,429.20","29,041.75","29,320.16",278.41,"270,430,880"
12-Dec-19,"28,965.00","29,156.87","28,766.80","29,041.75",104.3,"226,742,752"
11-Dec-19,"28,999.00","29,156.98","28,883.82","28,937.45",-30.44,"305,027,860"
10-Dec-19,"28,811.00","28,992.22","28,699.11","28,967.89",184.3,"254,104,144"
9-Dec-19,"28,901.00","29,043.55","28,695.16","28,783.59",-79.85,"319,792,192"
6-Dec-19,"28,789.00","29,012.95","28,711.70","28,863.44",151.74,"416,921,420"
5-Dec-19,"28,489.00","28,788.04","28,434.53","28,711.70",277.17,"507,900,290"
4-Dec-19,"28,161.00","28,461.26","28,082.98","28,434.53",315.8,"393,150,260"
